iter	Logloss
0	0.6129128549
1	0.546429629
2	0.4913729875
3	0.4371485139
4	0.3818586896
5	0.3319017872
6	0.2887335485
7	0.2498959054
8	0.2183915635
9	0.191943954
10	0.1669047322
11	0.1433622931
12	0.1253696008
13	0.1076006049
14	0.09260014889
15	0.07919071514
16	0.06831460974
17	0.05835873394
18	0.05058717236
19	0.04355448488
20	0.03824793503
21	0.03341170173
22	0.02933473542
23	0.02551192152
24	0.02254244391
25	0.01998890126
26	0.01741802691
27	0.01569559918
28	0.01407873558
29	0.01236746651
30	0.0108853114
31	0.009909408504
32	0.008948461165
33	0.008123724837
34	0.00735157172
35	0.006661391022
36	0.006075059177
37	0.005607693777
38	0.005299750282
39	0.004734496663
40	0.00423739442
41	0.003933840041
42	0.003519028285
43	0.003293911064
44	0.002969542876
45	0.002675339562
46	0.002445872802
47	0.002316575652
48	0.002197701506
49	0.00199185206
50	0.001811655926
51	0.001645897737
52	0.001568154534
53	0.001432837402
54	0.001325717864
55	0.00125214666
56	0.001189965494
57	0.001124636146
58	0.001033743497
59	0.001022191121
60	0.0009409842314
61	0.0008684482151
62	0.0008026813045
63	0.0007932042529
64	0.0007711024166
65	0.0007133778769
66	0.0006607302784
67	0.0006134295808
68	0.0005701216238
69	0.0005666582295
70	0.0005338107791
71	0.0004974188076
72	0.0004647354785
73	0.0004362748991
74	0.0004264454317
75	0.000397614493
76	0.0003743398688
77	0.0003704384011
78	0.0003677047681
79	0.0003640718796
80	0.0003491523447
81	0.000328279267
82	0.0003242655264
83	0.000314597413
84	0.0003130715711
85	0.0002946007194
86	0.0002791367704
87	0.0002682121292
88	0.0002531269754
89	0.0002399797422
90	0.000227250634
91	0.0002160146459
92	0.0002151051873
93	0.0002055068155
94	0.0001949914384
95	0.0001861481832
96	0.0001779503796
97	0.0001701543609
98	0.0001636154631
99	0.0001570447483
100	0.0001508186757
101	0.0001448279138
102	0.0001398768462
103	0.0001394488339
104	0.0001347529007
105	0.000130030072
106	0.0001256875371
107	0.0001219224711
108	0.0001183987887
109	0.0001148083443
110	0.0001113358837
111	0.0001095037475
112	0.0001066863445
113	0.0001059722268
114	0.0001040763689
115	0.0001037385266
116	0.0001026100585
117	0.0001000589961
118	9.705187634e-05
119	9.592944302e-05
120	9.472172502e-05
121	9.43988444e-05
122	9.348293914e-05
123	9.127568738e-05
124	8.924978887e-05
125	8.845365746e-05
126	8.630268123e-05
127	8.438760186e-05
128	8.410143037e-05
129	8.327503128e-05
130	8.275909303e-05
131	8.256749875e-05
132	8.19347896e-05
133	8.050427989e-05
134	8.029906935e-05
135	8.010628723e-05
136	7.936986878e-05
137	7.894914025e-05
138	7.868718384e-05
139	7.675644808e-05
140	7.54239047e-05
141	7.392127559e-05
142	7.242521014e-05
143	7.202860397e-05
144	7.152709656e-05
145	7.112660722e-05
146	7.076492796e-05
147	7.009316116e-05
148	6.951830737e-05
149	6.928480373e-05
150	6.884319138e-05
151	6.842112643e-05
152	6.752034644e-05
153	6.733665491e-05
154	6.72088014e-05
155	6.643252293e-05
156	6.610312575e-05
157	6.560108828e-05
158	6.540573836e-05
159	6.510405022e-05
160	6.467122126e-05
161	6.421133585e-05
162	6.379616235e-05
163	6.358267562e-05
164	6.322541139e-05
165	6.284989644e-05
166	6.248240199e-05
167	6.214074282e-05
168	6.176167967e-05
169	6.15411522e-05
170	6.124678413e-05
171	6.098488298e-05
172	6.062050218e-05
173	6.028802633e-05
174	5.996818006e-05
175	5.973246603e-05
176	5.932416817e-05
177	5.90544398e-05
178	5.850968816e-05
179	5.825369386e-05
180	5.81545432e-05
181	5.804291025e-05
182	5.785939896e-05
183	5.764012913e-05
184	5.741582159e-05
185	5.729965856e-05
186	5.694270898e-05
187	5.682517067e-05
188	5.674480306e-05
189	5.660005641e-05
190	5.643961048e-05
191	5.63511242e-05
192	5.631841164e-05
193	5.607261829e-05
194	5.543285717e-05
195	5.523286086e-05
196	5.500155588e-05
197	5.489338666e-05
198	5.479750264e-05
199	5.473451255e-05
200	5.404046459e-05
201	5.331546846e-05
202	5.317791932e-05
203	5.314571738e-05
204	5.300012014e-05
205	5.276850007e-05
206	5.259437726e-05
207	5.245209662e-05
208	5.234300914e-05
209	5.228965272e-05
210	5.216514325e-05
211	5.202372748e-05
212	5.180165422e-05
213	5.112097942e-05
214	5.110452718e-05
215	5.052094557e-05
216	5.032830923e-05
217	5.027127364e-05
218	5.017251178e-05
219	4.998860136e-05
220	4.968060191e-05
221	4.936351994e-05
222	4.890556367e-05
